date,bikes_hired,season,min_temp,max_temp,avg_temp,avg_humidity,avg_pressure,avg_windspeed,rainfall_mm,rain,fog,thunderstorm,snow
01-01-11,4555,1,7.2,,5.6,84,1025,10,0,TRUE,FALSE,FALSE,FALSE
02-01-11,6250,1,4,,2.9,79,1028,8,0.5,FALSE,FALSE,FALSE,FALSE
03-01-11,7262,1,2.9,,1.4,80,1024,6,0,FALSE,FALSE,FALSE,TRUE
04-01-11,13430,1,,0.3,2.7,87,1013,6,0,TRUE,FALSE,FALSE,FALSE
05-01-11,13757,1,7.1,3.8,5.6,84,1000,19,0,TRUE,FALSE,FALSE,FALSE
06-01-11,9595,1,,,4.1,92,996,5,0.5,TRUE,TRUE,FALSE,TRUE
07-01-11,9294,1,10.8,1,6.1,92,999,11,11.4,TRUE,TRUE,FALSE,FALSE
08-01-11,9338,1,10.4,,6.9,82,997,23,13,TRUE,FALSE,FALSE,FALSE
09-01-11,10558,1,7.2,,3.1,79,1012,16,1,FALSE,FALSE,FALSE,FALSE
10-01-11,16058,1,8.9,-1.9,4.3,87,1011,14,0,TRUE,FALSE,FALSE,FALSE
11-01-11,16412,1,8.3,,5.8,82,1006,16,7.1,TRUE,FALSE,FALSE,FALSE
12-01-11,13894,1,,3.7,9.3,89,1011,16,7.1,TRUE,FALSE,FALSE,FALSE
13-01-11,15911,1,,,12.4,89,1009,23,0.8,TRUE,FALSE,FALSE,FALSE
14-01-11,14834,1,12.1,,10.7,87,1010,24,7.6,TRUE,FALSE,TRUE,FALSE
15-01-11,11851,1,11.6,,10.3,79,1015,24,0.3,FALSE,FALSE,FALSE,FALSE
16-01-11,10471,1,12.4,,11.1,83,1016,23,0,TRUE,FALSE,FALSE,FALSE
17-01-11,10835,1,,,7.6,90,1019,8,14,TRUE,FALSE,FALSE,FALSE
18-01-11,17703,1,7.5,,4.9,85,1027,11,11.9,TRUE,FALSE,FALSE,FALSE
19-01-11,18350,1,7.4,-1.1,2.6,88,1035,8,0.3,FALSE,FALSE,FALSE,FALSE
20-01-11,17957,1,5.3,1.4,3.7,86,1036,8,0.3,TRUE,FALSE,FALSE,FALSE
21-01-11,16509,1,,,1.9,83,1039,8,0,FALSE,FALSE,FALSE,FALSE
22-01-11,10658,1,,-0.1,3.8,86,1037,10,0.3,TRUE,FALSE,FALSE,FALSE
23-01-11,9911,1,,5.8,6.6,85,1034,13,0.3,TRUE,FALSE,FALSE,FALSE
24-01-11,17193,1,7.2,,5.8,83,1030,11,0,TRUE,FALSE,FALSE,FALSE
25-01-11,17045,1,,1.3,6.3,88,1017,14,0.5,TRUE,FALSE,FALSE,FALSE
26-01-11,16396,1,7.1,,5.7,86,1011,11,0.5,TRUE,FALSE,FALSE,FALSE
27-01-11,16519,1,3.1,,2.1,66,1021,18,0.3,FALSE,FALSE,FALSE,FALSE
28-01-11,15538,1,,,0.8,65,1023,18,0,FALSE,FALSE,FALSE,FALSE
29-01-11,9379,1,,-0.1,0.7,75,1022,11,0,FALSE,FALSE,FALSE,FALSE
30-01-11,9455,1,5.6,,1.8,75,1023,10,0,FALSE,FALSE,FALSE,FALSE
31-01-11,16260,1,4.8,,1,80,1025,6,0,FALSE,FALSE,FALSE,FALSE
01-02-11,16331,1,8,-2.2,3.4,86,1026,14,0,FALSE,TRUE,FALSE,FALSE
02-02-11,18102,1,,,6.4,89,1024,14,0.3,TRUE,TRUE,FALSE,FALSE
03-02-11,15593,1,10.6,,7.4,77,1023,19,0,FALSE,FALSE,FALSE,FALSE
04-02-11,14938,1,12.3,8.2,10.8,77,1016,37,0,FALSE,FALSE,FALSE,FALSE
05-02-11,8442,1,13.1,10.9,11.9,77,1017,35,0,FALSE,FALSE,FALSE,FALSE
06-02-11,9437,1,,,10.8,77,1020,29,0,FALSE,FALSE,FALSE,FALSE
07-02-11,16537,1,12.2,,8.9,75,1015,27,0,TRUE,FALSE,FALSE,FALSE
08-02-11,19829,1,10.6,,4.6,80,1022,8,0,FALSE,TRUE,FALSE,FALSE
09-02-11,18197,1,10.4,4.3,8.1,83,1017,13,0.3,FALSE,FALSE,FALSE,FALSE
10-02-11,11496,1,,7.6,9.6,90,1012,13,0,TRUE,FALSE,FALSE,FALSE
11-02-11,16070,1,,7.6,9.9,89,1011,14,8.9,TRUE,FALSE,FALSE,FALSE
12-02-11,12855,1,11.4,,8.4,84,1011,14,2.8,TRUE,FALSE,FALSE,FALSE
13-02-11,7034,1,8.8,4.6,7.3,87,1002,16,0,TRUE,FALSE,FALSE,FALSE
14-02-11,17836,1,10.2,3.9,6.2,81,1001,13,4.8,FALSE,FALSE,FALSE,FALSE
15-02-11,15667,1,,4,5.8,88,991,16,0.5,TRUE,FALSE,FALSE,FALSE
16-02-11,18989,1,11,1.8,6.3,83,995,11,0,FALSE,FALSE,FALSE,FALSE
17-02-11,18938,1,10.2,,6.4,85,1005,10,0.3,FALSE,FALSE,FALSE,FALSE
